[NOTUS TEXTFILE V3.1]
File Created: 13-Jul-2019 16:02:15
Tow Date: 13-Jul-2019 8:27:04


Transponder: C24S
Placement: Starboard

Code,Time,Range(m),Data(m),Latitude,Longitude,Echo Sounder(m),Comment
C24S,08:27:06,54.1,26.7,---,---,---,
C24S,08:27:42,53.6,26.4,---,---,---,
C24S,08:28:20,53.8,27.4,---,---,---,
C24S,08:28:57,53.9,27.8,---,---,---,
C24S,08:29:34,54.4,27.4,---,---,---,
C24S,08:30:09,53.7,27.9,---,---,---,
C24S,08:30:46,53.7,27.8,---,---,---,
C24S,08:31:23,54.4,27.1,---,---,---,
C24S,08:32:00,54.0,27.8,---,---,---,
C24S,08:32:35,54.1,28.2,---,---,---,
C24S,08:33:11,54.1,27.6,---,---,---,
C24S,08:33:48,54.4,28.9,---,---,---,
C24S,08:34:23,53.9,27.9,---,---,---,
C24S,08:34:58,54.2,27.5,---,---,---,
C24S,08:35:34,53.9,27.5,---,---,---,
C24S,08:36:11,53.7,27.6,---,---,---,
C24S,08:36:46,53.9,27.6,---,---,---,
C24S,08:37:22,24.8,19.5,---,---,---,
C24S,08:38:07,---,---,---,---,---,
C24S,08:38:51,---,---,---,---,---,
C24S,08:39:35,---,---,---,---,---,
C24S,08:40:20,---,---,---,---,---,
C24S,08:41:04,---,---,---,---,---,
C24S,08:41:48,---,---,---,---,---,
C24S,08:42:32,---,---,---,---,---,
C24S,08:43:16,---,---,---,---,---,
C24S,08:44:00,---,---,---,---,---,
C24S,08:44:44,---,---,---,---,---,
C24S,08:45:28,---,---,---,---,---,
C24S,08:46:12,---,---,---,---,---,
C24S,08:46:56,---,---,---,---,---,
C24S,08:47:40,---,---,---,---,---,
C24S,08:48:24,---,---,---,---,---,
C24S,08:49:08,---,---,---,---,---,
C24S,08:49:52,---,---,---,---,---,
C24S,08:50:37,---,---,---,---,---,
C24S,08:51:21,---,---,---,---,---,
C24S,08:52:05,---,---,---,---,---,
C24S,08:52:49,---,---,---,---,---,
C24S,08:53:33,---,---,---,---,---,
C24S,08:54:17,---,---,---,---,---,
C24S,08:55:01,---,---,---,---,---,
C24S,08:55:45,---,---,---,---,---,
C24S,08:56:29,---,---,---,---,---,
C24S,08:57:13,---,---,---,---,---,
C24S,08:57:57,---,---,---,---,---,
C24S,08:58:41,---,---,---,---,---,
C24S,08:59:25,---,---,---,---,---,
C24S,09:00:10,---,---,---,---,---,
C24S,09:00:54,---,---,---,---,---,
C24S,09:01:38,---,---,---,---,---,
C24S,09:02:22,---,---,---,---,---,
C24S,09:03:06,---,---,---,---,---,
C24S,09:03:50,---,---,---,---,---,
C24S,09:04:34,---,---,---,---,---,
C24S,09:05:18,---,---,---,---,---,
C24S,09:06:02,---,---,---,---,---,
C24S,09:06:46,---,---,---,---,---,
C24S,09:07:30,---,---,---,---,---,
C24S,09:08:14,---,---,---,---,---,
C24S,09:08:58,---,---,---,---,---,
C24S,09:09:42,---,---,---,---,---,
C24S,09:10:27,---,---,---,---,---,
C24S,09:11:11,---,---,---,---,---,
C24S,09:11:55,---,---,---,---,---,
C24S,09:12:39,---,---,---,---,---,
C24S,09:13:23,---,---,---,---,---,
C24S,09:14:07,---,---,---,---,---,
C24S,09:14:51,---,---,---,---,---,
C24S,09:15:35,---,---,---,---,---,
C24S,09:16:19,---,---,---,---,---,
C24S,09:17:03,---,---,---,---,---,
C24S,09:17:47,---,---,---,---,---,
C24S,09:18:31,---,---,---,---,---,
C24S,09:19:15,---,---,---,---,---,
C24S,09:19:59,---,---,---,---,---,
C24S,09:20:44,---,---,---,---,---,
C24S,09:21:28,---,---,---,---,---,
C24S,09:22:12,---,---,---,---,---,
C24S,09:22:56,---,---,---,---,---,
C24S,09:23:40,---,---,---,---,---,
C24S,09:24:24,---,---,---,---,---,
C24S,09:25:08,---,---,---,---,---,
C24S,09:25:52,---,---,---,---,---,
C24S,09:26:36,---,---,---,---,---,
C24S,09:27:20,---,---,---,---,---,
C24S,09:28:04,---,---,---,---,---,
C24S,09:28:48,---,---,---,---,---,
C24S,09:29:32,---,---,---,---,---,
C24S,09:30:16,---,---,---,---,---,
C24S,09:31:01,---,---,---,---,---,
C24S,09:31:45,---,---,---,---,---,
C24S,09:32:29,---,---,---,---,---,
C24S,09:33:13,---,---,---,---,---,
C24S,09:33:57,---,---,---,---,---,
C24S,09:34:41,---,---,---,---,---,
C24S,09:35:25,---,---,---,---,---,
C24S,09:36:09,---,---,---,---,---,
C24S,09:36:53,---,---,---,---,---,
C24S,09:37:37,---,---,---,---,---,
C24S,09:38:21,---,---,---,---,---,
C24S,09:39:05,---,---,---,---,---,
C24S,09:39:49,---,---,---,---,---,
C24S,09:40:33,---,---,---,---,---,
C24S,09:41:18,---,---,---,---,---,
C24S,09:42:02,---,---,---,---,---,
C24S,09:42:46,---,---,---,---,---,
C24S,09:43:30,---,---,---,---,---,
C24S,09:44:14,---,---,---,---,---,
C24S,09:44:58,---,---,---,---,---,
C24S,09:45:42,---,---,---,---,---,
C24S,09:46:26,---,---,---,---,---,
C24S,09:47:10,---,---,---,---,---,
C24S,09:47:54,---,---,---,---,---,
C24S,09:48:38,---,---,---,---,---,
C24S,09:49:22,---,---,---,---,---,
C24S,09:50:06,---,---,---,---,---,
C24S,09:50:50,---,---,---,---,---,
C24S,09:51:35,---,---,---,---,---,
C24S,09:52:19,---,---,---,---,---,
C24S,09:53:03,---,---,---,---,---,
C24S,09:53:47,---,---,---,---,---,
C24S,09:54:31,---,---,---,---,---,
C24S,09:55:15,---,---,---,---,---,
C24S,09:55:59,---,---,---,---,---,
C24S,09:56:43,---,---,---,---,---,
C24S,09:57:27,---,---,---,---,---,
C24S,09:58:11,---,---,---,---,---,
C24S,09:58:55,---,---,---,---,---,
C24S,09:59:39,---,---,---,---,---,
C24S,10:00:23,---,---,---,---,---,
C24S,10:01:07,---,---,---,---,---,
C24S,10:01:52,---,---,---,---,---,
C24S,10:02:36,---,---,---,---,---,
C24S,10:03:20,---,---,---,---,---,
C24S,10:04:04,---,---,---,---,---,
C24S,10:04:48,---,---,---,---,---,
C24S,10:05:32,---,---,---,---,---,
C24S,10:06:16,---,---,---,---,---,
C24S,10:07:00,---,---,---,---,---,
C24S,10:07:42,---,---,---,---,---,
C24S,10:08:26,---,---,---,---,---,
C24S,10:09:10,---,---,---,---,---,
C24S,10:09:49,---,---,---,---,---,
C24S,10:10:30,2088.9,---,---,---,---,
C24S,10:11:14,---,---,---,---,---,
C24S,10:11:58,---,---,---,---,---,
C24S,10:12:44,---,---,---,---,---,
C24S,10:13:28,---,---,---,---,---,
